Date,"Fase, banco, y malla programada",Estado / Motivo de suspensión,Hora de ejecución,URL
03-02-2024,Fase 07 Banco 960 Malla 10A,Ejecutada,10:58,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronadura%20realizada%2003-02-2024.pdf
03-02-2024,Fase 06 Banco 950 Malla 14B,Ejecutada,11:06,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronadura%20realizada%2003-02-2024.pdf
23-02-2024,Fase 07 Banco 960 mallas 11a,Ejecutada,12:13,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronadura%20realizada%2023-02-2024.pdf
23-02-2024,Fase 07 Banco 960 malla precorte,Ejecutada,12:13,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronadura%20realizada%2023-02-2024.pdf
24-02-2024,Fase 07 Banco 950 mallas 06b-07a,Ejecutada,11:27,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronadura%20realizada%2024-02-2024.pdf
24-02-2024,Fase 07 Banco 950 malla precorte,Ejecutada,11:27,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronadura%20realizada%2024-02-2024.pdf
05-02-2024,Fase 06 Banco 950 Malla 13D-15A,Ejecutada,11:26,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%20%20%2005-02-2024.pdf
19-02-2024,Fase 06 Banco 940 Malla 12B-18A-19A,Ejecutada,15:02,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%20%20%2019-02-2024.pdf
19-02-2024,Fase 06 Banco 950 Malla 14C-18A,Ejecutada,15:08,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%20%20%2019-02-2024.pdf
19-02-2024,Fase 06 Banco 950 Malla Precorte,Ejecutada,15:08,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%20%20%2019-02-2024.pdf
08-02-2024,Fase 07 Banco 950 Malla 03C-08A,Ejecutada,10:08,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%2008-02-2024.pdf
08-02-2024,Fase 07 Banco 960  Malla 06C-10B,Ejecutada,10:12,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%2008-02-2024.pdf
13-02-2024,Fase 06 Banco 950 Malla 16A,Ejecutada,11:29,https://pdaandacollo.teck.com/services/api/FileDownload/?filePath=\\Registro%20Acierto%20de%20Tronadura%20Teck%20CDA\2024\02.Febrero\Registro%20tronaduras%20ejecutadas%2013-02-2024.pdf
